company,busnessrc,product,exposqtr,channel,p,sumInsured,yearsInsured,payFreq,occupancy,policyPremiscnt,locality,claimsExp,premiseSurveyed,stateRisk,buildingSI,contentsSI,stockSI,cusGoodsSI,otherItemsSI,accdamageSI,fireprotecAlarm,fireprotecBlanket,fireprotecBmonitored,fireprotecFexting,fireprotecHose,fireprotecMonitored,fireprotecMthermal,fireprotecNthermal,fireprotecNmonitored,fireprotecEpswall,fireprotecSprinklers,standardExcess,voluntaryExcess,underwriterAdjPerc,claimExpDiscountPerc,bundleSectionCount,FMAcommissionPerc,ContStockOtherSI,SECY_ALARMLNMON,SECY_CCTVUNK,SECY_DBOLLARD,SECY_DEADLOCKS,SECY_ELECTRONIC,SECY_FENCING,SECY_LIGHTING,SECY_SECUPER24,SECY_WBOLLARD,SECY_WINDOWBAR,SECY_WINDOWFLM,SECY_WINDOWLCK,SECY_ALARMDIAL,SECY_ALARMDIGI,SECY_ALARMDLL,SECY_DOORGRIL,SECY_WINDOWGRL,FFL_zone,walltype,rooftype,floortype,firep_fr_b,firep_fr_c,sec_fr_c,TEAL,mean_property_age,total_private_dwellings_2011,angle_from_road,babvic_score,difference_in_elevation,distance_to_road,fire_station_dist,ppdamage_score,police_station_dist,mvthefts_per_yr,suncorp_household_score,AREA,HousePrc,length_rddrv_301,length_rddrv_302,length_rddrv_303,length_rddrv_304,length_rddrv_306,length_rddrv_308,advdisadv,occ_cso_fire,yearOfConstr,datatype,weight,target
13,C,BC,2013Q3,BICM,GIFR,320000,0,,TENANT,0,MAINRD,0,UNKNOWN,NSW,0,300000,20000,0,0,0,N,Y,N,Y,N,Y,N,Y,N,N,DSPRINKLER,200,0,-0.081635589,0,0,0,320000,,,,,,,,,,,,,,,,,,1,BRICK,CONCRETSLA,CONCRETE,55,35,2,,20.19741469,306.9610218,0.690014511,3.46366191,0.597547498,50.66493224,0.657238151,7.982257976,0.803428112,5.283524273,3.888506164,14.1551,387500,1.373106982,0.861551813,7.691070815,0.233704851,4.748331536,0.644601711,885.7230054,OC_R_FF_06,2005,M,1,3163.64
13,C,BC,2013Q2,BISA,GIFR,430000,0,M,TENANT,1,SCENTREINT,0,UNKNOWN,VIC,0,400000,30000,0,0,0,N,N,N,Y,Y,Y,N,N,N,N,SSPRINKLER,200,0,0.153845288,0,7,0,430000,,,,,,,,,,,,,,,,,,1,EXPOLY,ALLOYSTEEL,CONCRETE,45,30,0,,31.48495539,268.1798597,0.232230855,8.111933098,0.177916121,24.95681267,1.259854031,13.78835639,1.465512945,0.585815172,4.374516016,11.9908,325000,3.424566138,0.511450318,0.731676332,0.618894719,0.988452068,0.858962331,971.4546573,OC_R_FF_04,1990,T,1,30760
13,C,BC,2014Q3,BISA,GIFR,310500,1,M,TENANT,1,MAINRD,0,UNKNOWN,VIC,0,294975,15525,0,0,0,N,Y,N,Y,N,N,N,N,Y,N,N,200,0,-0.156432842,0,9,0,310500,,,,,,,,,,,,,,,,,,1,BRICK,ALLOYSTEEL,CONCRETE,0,0,2,BIS to Resilium,27.63905182,266.1318973,0.364023651,11.42324595,0.212907258,29.74332901,1.510179088,15.4512805,2.739807205,0.98652041,5.227616927,53.2153,275000,1.126600366,0.850270959,1.878673077,0.98077063,0.924739049,0.570577529,1001.048844,OC_R_FF_06,1990,M,1,4850
13,C,BC,2013Q4,BISA,GIFR,410000,0,M,TENANT,1,MAINRD,0,UNKNOWN,NSW,0,10000,400000,0,0,0,N,N,N,N,N,N,N,N,N,N,N,200,0,0,0,4,0,410000,,,,,,,,,,,,,,,,,,1,CONCRETSTO,CONCRETE,CONCRETE,0,0,0,,39.44558498,286.2929538,0.910488792,1.695344046,0.83423317,41.52179378,1.395230514,5.730613927,0.669839171,1.509340693,4.632070879,6.92792,957500,0.844332143,0.401625079,4.748182277,0.338754714,9.644391933,0.826810004,1051.192046,OC_R_FF_04,1960,T,1,216534.4298
13,C,BC,2015Q3,BICS,GIFR,2142,2,,TENANT,0,SCENTREEXT,0,UNKNOWN,NSW,0,2142,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,200,0,0,0,0,0,2142,,,,,,,,,,,,,,,,,,0,BRICK,ALLOYSTEEL,CONCRETE,5,5,0,,25.03772163,329.2211507,0.035443087,1.745508982,0.14663585,40.94696977,0.680146146,6.12652955,0.847334703,1.978659278,4.13929555,14.6268,605000,1.588588777,0.464120316,8.463353187,0.404420687,8.885750308,0.494652352,984.6807663,OC_R_FF_04,1965,M,1,1960.18
13,C,BC,2015Q4,BISA,GIFR,114620,2,,TENANT,0,MAINRD,0,UNKNOWN,QLD,0,107122,7498,0,0,0,N,N,N,N,N,N,N,N,N,N,N,200,0,-0.032255881,0,0,0,114620,,,,,,,,,,,,,,,,,,1,BRICK,ALLOYSTEEL,CONCRETE,0,0,0,,25.27515673,285.2432099,0.174689764,16.21953676,0.540859309,53.65562059,2.047682504,8.254984894,0.614186214,1.639395329,4.876099328,60.4552,308000,3.447242004,,0.446115409,0.269016512,,0.724955783,1023.546149,OC_R_FF_07,1993,T,1,591.2999975
13,C,BC,2014Q1,BISA,GIFR,400000,0,M,TENANT,1,MAINRD,0,UNKNOWN,NSW,0,380000,20000,0,0,0,N,N,N,N,N,N,N,N,N,N,N,200,0,-0.166669735,0,8,0,400000,,,,,,,,,,,,,,,,,,0,BRICK,ALLOYSTEEL,CONCRETE,0,0,2,,29.4585637,244.9719703,-0.515424752,1.206461781,-1.254819782,52.0680927,0.368288638,6.747044917,6.383226456,0.727336825,6.227447217,103.621,720000,9.628288269,0.756125879,,0.496644647,0.711160186,0.587380419,1122.426692,OC_R_FF_06,1991,M,1,2985
13,C,BC,2014Q4,BISA,GIFR,62100,1,M,TENANT,1,SUBSTGRND,0,UNKNOWN,NSW,0,56925,5175,0,0,0,N,N,N,Y,N,N,N,N,N,N,N,200,0,0,0,6,0,62100,,,,,,,,,,,,,,,,,,7,CONCRETSLA,ALLOYSTEEL,CONCRETE,0,0,0,,28.88709307,306.8602288,-0.424243868,8.867023555,-0.626125087,43.20530875,1.034834712,6.044539615,1.392781049,0.834320707,5.890606421,957.078,415000,,0.772491745,2.952285249,,0.762258605,0.800494562,891.1390433,OC_R_FF_06,1960,M,1,6340.869995
13,C,BC,2013Q3,BISA,GIFR,205000,0,M,TENANT,1,CONVERSION,0,UNKNOWN,QLD,0,180000,25000,0,0,0,N,Y,N,Y,N,N,N,N,N,N,N,200,0,-0.081633064,0,8,0,205000,,,,,,,,,,,,,,,,,,,BRICK,ALLOYSTEEL,CONCRETE,,,,,,,,,,,,,,,,25.9345,582500,,,,,,,,OC_R_FF_06,,M,1,2772.730001
13,C,BC,2013Q3,BIC,GIFR,68300,0,M,TENANT,1,SCENTREEXT,0,UNKNOWN,NSW,0,62100,6200,0,0,0,Y,Y,N,Y,Y,N,N,N,Y,N,N,200,0,0,0,6,0,68300,,,,,,,,,,,,,,,,,,2,BRICK,ALLOYSTEEL,OTHMIXED,0,0,2,,31.12856842,262.5804678,-0.047535215,9,-0.134285714,37.56996756,1.520926576,6,1.529430311,2.599998474,4.930463576,121.52,379000,0.529526852,2.841010404,,0.2910435,1.175694766,0.251660054,883.9271985,OC_R_FF_07,1981,T,1,30811.35996
